Year,Quarter,Name,Count
2012,1,Ruby,44278
2012,1,Python,25954
2012,1,C++,25137
2012,1,Java,24262
2012,1,JavaScript,24024
2012,1,PHP,19822
2012,1,C#,6018
2012,1,C,5162
2012,1,HTML,3465
2012,1,Shell,2843
2012,1,Groovy,1728
2012,1,Objective-C,1721
2012,1,Scala,1290
2012,1,Makefile,1279
2012,1,Emacs Lisp,1144
2012,1,TypeScript,598
2012,1,Perl,575
2012,1,CSS,490
2012,1,DM,465
2012,1,Haskell,445
2012,1,Erlang,376
2012,1,Vim Script,366
2012,1,CoffeeScript,341
2012,1,Lua,331
2012,1,ActionScript,302
2012,1,Go,292
2012,1,Kotlin,288
2012,1,Clojure,250
2012,1,Julia,246
2012,1,Swift,212
2012,1,Objective-J,183
2012,1,TeX,146
2012,1,Puppet,135
2012,1,Elixir,113
2012,1,PLpgSQL,111
2012,1,Web Ontology Language,103
2012,1,OCaml,92
2012,1,XSLT,89
2012,1,Inform 7,79
2012,1,Gherkin,76
2012,1,nesC,72
2012,1,ColdFusion,68
2012,1,Dylan,57
2012,1,Fortran,43
2012,1,MATLAB,36
2012,1,Jupyter Notebook,35
2012,1,D,32
2012,1,Vala,31
2012,1,Blade,28
2012,1,OpenSCAD,25
2012,1,Tcl,21
2012,1,Nemerle,19
2012,1,Starlark,19
2012,1,Batchfile,18
2012,1,Component Pascal,18
2012,1,Apex,17
2012,1,CMake,16
2012,1,SCSS,16
2012,1,HyPhy,14
2012,1,Visual Basic,14
2012,1,Pascal,13
2012,1,PowerShell,13
2012,1,AutoHotkey,12
2012,1,Raku,12
2012,1,Smalltalk,12
2012,1,XC,12
2012,1,Eiffel,10
2012,1,Standard ML,10
2012,2,JavaScript,21591
2012,2,Java,20843
2012,2,Ruby,18790
2012,2,Python,18777
2012,2,PHP,17668
2012,2,C++,8788
2012,2,C,4915
2012,2,HTML,3489
2012,2,C#,3334
2012,2,Shell,2690
2012,2,Scala,2423
2012,2,Objective-C,1457
2012,2,Perl,1021
2012,2,CSS,829
2012,2,DM,762
2012,2,CoffeeScript,686
2012,2,Erlang,603
2012,2,Makefile,598
2012,2,Clojure,581
2012,2,Emacs Lisp,533
2012,2,Haskell,443
2012,2,Lua,405
2012,2,Inform 7,293
2012,2,Vim Script,266
2012,2,TypeScript,254
2012,2,Julia,225
2012,2,TeX,188
2012,2,Groovy,177
2012,2,XSLT,177
2012,2,Go,168
2012,2,Kotlin,134
2012,2,DCPU-16 ASM,129
2012,2,Objective-J,129
2012,2,Elixir,118
2012,2,OCaml,116
2012,2,Puppet,113
2012,2,ActionScript,111
2012,2,Batchfile,109
2012,2,nesC,108
2012,2,Haxe,102
2012,2,Web Ontology Language,95
2012,2,D,89
2012,2,Fortran,82
2012,2,ColdFusion,73
2012,2,PostScript,72
2012,2,SCSS,67
2012,2,Handlebars,63
2012,2,Lasso,56
2012,2,Nix,51
2012,2,Assembly,50
